mode: atomic
wbtest/internal/config/config.go:100.30,102.16 2 0
wbtest/internal/service/service.go:187.47,194.3 2 4
wbtest/internal/service/service.go:196.2,197.16 2 3
wbtest/internal/service/service.go:197.16,204.3 2 1
wbtest/internal/service/service.go:206.2,215.26 4 2
wbtest/internal/service/service.go:221.26,227.41 2 3
wbtest/internal/service/service.go:227.41,230.18 3 2
wbtest/internal/service/service.go:230.18,232.5 1 0
wbtest/internal/service/service.go:234.4,234.98 1 2
wbtest/internal/service/service.go:234.98,236.5 1 0
wbtest/internal/service/service.go:238.4,238.96 1 2
wbtest/internal/service/service.go:238.96,240.5 1 0
wbtest/internal/service/service.go:242.4,242.89 1 2
wbtest/internal/service/service.go:242.89,244.5 1 0
wbtest/internal/service/service.go:246.4,246.14 1 2
wbtest/internal/service/service.go:249.2,249.16 1 3
wbtest/internal/service/service.go:249.16,252.3 1 1
wbtest/internal/service/service.go:254.2,254.26 1 2
wbtest/internal/service/service.go:261.26,263.16 2 2
wbtest/internal/service/service.go:263.16,266.3 1 0
wbtest/internal/service/service.go:267.2,267.19 1 2
wbtest/internal/service/service.go:275.29,277.16 2 2
wbtest/internal/service/service.go:277.16,280.3 1 0
wbtest/internal/service/service.go:281.2,281.22 1 2
wbtest/internal/service/service.go:289.28,291.16 2 2
wbtest/internal/service/service.go:291.16,294.3 1 0
wbtest/internal/service/service.go:295.2,295.21 1 2
wbtest/internal/service/service.go:303.9,304.69 1 2
wbtest/internal/service/service.go:304.69,307.3 1 0
wbtest/internal/service/service.go:308.2,308.12 1 2
wbtest/internal/service/service.go:311.98,322.15 5 6
wbtest/internal/service/service.go:322.15,324.38 2 6
wbtest/internal/service/service.go:324.38,330.4 1 1
wbtest/internal/service/service.go:333.2,333.52 1 6
wbtest/internal/service/service.go:333.52,334.79 1 1
wbtest/internal/service/service.go:334.79,342.4 3 1
wbtest/internal/service/service.go:343.3,345.4 1 0
wbtest/internal/service/service.go:348.2,354.16 3 5
wbtest/internal/service/service.go:354.16,361.3 2 3
wbtest/internal/service/service.go:363.2,363.75 1 2
wbtest/internal/service/service.go:363.75,365.3 1 2
wbtest/internal/service/service.go:365.8,372.3 1 0
wbtest/internal/service/service.go:374.2,382.19 3 2
wbtest/internal/service/service.go:388.26,393.16 4 5
wbtest/internal/service/service.go:393.16,396.3 1 2
wbtest/internal/service/service.go:398.2,399.16 2 3
wbtest/internal/service/service.go:399.16,401.3 1 1
wbtest/internal/service/service.go:403.2,407.19 4 2
wbtest/internal/service/service.go:413.62,419.20 5 3
wbtest/internal/service/service.go:419.20,422.60 3 3
wbtest/internal/service/service.go:422.60,424.4 1 0
wbtest/internal/service/service.go:425.3,425.13 1 3
wbtest/internal/service/service.go:428.2,428.20 1 3
wbtest/internal/service/service.go:428.20,431.60 3 3
wbtest/internal/service/service.go:431.60,433.4 1 0
wbtest/internal/service/service.go:434.3,434.13 1 3
wbtest/internal/service/service.go:437.2,437.20 1 3
wbtest/internal/service/service.go:437.20,440.60 3 3
wbtest/internal/service/service.go:440.60,442.4 1 0
wbtest/internal/service/service.go:443.3,443.13 1 3
wbtest/internal/service/service.go:446.2,446.33 1 3
wbtest/internal/service/service.go:446.33,449.3 1 0
wbtest/internal/service/service.go:451.2,451.58 1 3
wbtest/internal/service/service.go:451.58,453.3 1 1
wbtest/internal/service/service.go:455.2,455.38 1 2
wbtest/internal/service/service.go:461.29,466.59 4 3
wbtest/internal/service/service.go:466.59,468.3 1 0
wbtest/internal/service/service.go:469.2,469.22 1 3
wbtest/internal/service/service.go:475.28,480.59 4 3
wbtest/internal/service/service.go:480.59,482.3 1 0
wbtest/internal/service/service.go:483.2,483.21 1 3
wbtest/internal/service/service.go:486.99,491.59 4 3
wbtest/internal/service/service.go:491.59,493.3 1 0
wbtest/internal/service/service.go:494.2,494.19 1 3
wbtest/internal/service/service.go:497.66,498.32 1 7
wbtest/internal/service/service.go:498.32,500.3 1 1
wbtest/internal/service/service.go:501.2,501.27 1 6
wbtest/internal/service/service.go:501.27,503.3 1 1
wbtest/internal/service/service.go:504.2,504.26 1 5
wbtest/internal/service/service.go:504.26,506.3 1 1
wbtest/internal/service/service.go:507.2,507.27 1 4
wbtest/internal/service/service.go:507.27,509.3 1 1
wbtest/internal/service/service.go:510.2,510.12 1 3
